"x1","y1","z1","x2","y2","z2","l","r1","r2","Q1","Q2","p1","p2","Q1v","Q2v","p1v","p2v","S1","S2"
-1.07626,0.534775,5.91251,-1.02466,0.550666,5.92561,0.0138884,0.163868,0.163868,95.6204,95.6204,-73.7668,-73.8119,0,0,0,0,95.6204,95.6204
-1.02466,0.550666,5.92561,-0.973061,0.566557,5.93871,0.0138908,0.163868,0.163868,95.6204,95.6204,-73.8119,-73.8571,0,0,0,0,95.6204,95.6204
-0.973061,0.566557,5.93871,-0.921463,0.582448,5.9518,0.0138884,0.163868,0.163868,95.6204,95.6204,-73.8571,-73.9024,0,0,0,0,95.6204,95.6204
-0.921463,0.582448,5.9518,-0.869865,0.59834,5.9649,0.0138908,0.163868,0.163868,95.6204,95.6204,-73.9024,-73.9477,0,0,0,0,95.6204,95.6204
-0.869865,0.59834,5.9649,-0.818267,0.614232,5.97799,0.0138884,0.163868,0.163868,95.6204,95.6204,-73.9477,-73.993,0,0,0,0,95.6204,95.6204
-0.818267,0.614232,5.97799,-0.76667,0.630125,5.99109,0.0138878,0.163868,0.163868,95.6204,95.6204,-73.993,-74.0385,0,0,0,0,95.6204,95.6204
-0.76667,0.630125,5.99109,-0.715072,0.646018,6.00419,0.013891,0.163868,0.163868,95.6204,95.6204,-74.0385,-74.0839,0,0,0,0,95.6204,95.6204
-0.715072,0.646018,6.00419,-0.663475,0.661911,6.01728,0.0138875,0.163868,0.163868,95.6204,95.6204,-74.0839,-74.1294,0,0,0,0,95.6204,95.6204
-0.663475,0.661911,6.01728,-0.611878,0.677805,6.03038,0.0138875,0.163868,0.163868,95.6204,95.6204,-74.1294,-74.175,0,0,0,0,95.6204,95.6204
-0.611878,0.677805,6.03038,-0.606335,0.695025,6.02389,0.00640533,0.0903255,0.0903255,75.5612,75.5612,-42.971,-43.2164,0,0,0,0,75.5612,75.5612
-0.606335,0.695025,6.02389,-0.605179,0.729032,6.01972,0.0141725,0.0903255,0.127259,75.5612,62.7369,-43.2164,-63.4366,0,0,0,0,75.5612,62.7369
-0.605179,0.729032,6.01972,-0.606211,0.785086,6.01668,0.0139048,0.127259,0.127259,62.7369,62.7369,-63.4366,-63.5444,0,0,0,0,62.7369,62.7369
-0.606211,0.785086,6.01668,-0.606663,0.840152,6.01527,0.0136414,0.127259,0.127259,62.7369,62.7369,-63.5444,-63.6504,0,0,0,0,62.7369,62.7369
