"x1","y1","z1","x2","y2","z2","l","r1","r2","p","dl","dr","Q1","Q2","p1","p2","Q1p","Q2p","A1p","A2p"
0,0,5,-0.0130632,0.0108199,4.96206,0.0415602,0.17,0.17,-10,1,-10,0,0,-30.1317,-30.1317,0,0,0,0
-0.0130632,0.0108199,4.96206,-0.0261265,0.0216397,4.92412,0.0415602,0.169987,0.169987,0,2,3,0,0,-30.1294,-30.1294,0,0,0,0
-0.0261265,0.0216397,4.92412,-0.0870882,0.0721324,4.74706,0.193948,0.16863,0.16863,1,4,5,0,0,-29.8889,-29.8889,0,0,0,0
-0.0261265,0.0216397,4.92412,0.0316055,0.265363,4.91336,0.250698,0.0488712,0.0488712,1,959,-10,0,0,-8.66219,-8.66219,0,0,0,0
-0.0870882,0.0721324,4.74706,-0.121924,0.100985,4.64588,0.110827,0.165981,0.165981,2,6,7,0,0,-29.4194,-29.4194,0,0,0,0
-0.0870882,0.0721324,4.74706,-0.259734,0.0223634,4.67528,0.193483,0.06059,0.06059,2,927,-10,0,0,-10.7393,-10.7393,0,0,0,0
-0.121924,0.100985,4.64588,-0.184627,0.152921,4.46376,0.199489,0.152984,0.152984,4,8,-10,0,0,-27.1157,-27.1157,0,0,0,0
-0.121924,0.100985,4.64588,0.246708,-0.259107,4.29581,0.62298,0.0997421,0.0997421,4,719,-10,0,0,-17.6788,-17.6788,0,0,0,0
-0.184627,0.152921,4.46376,-0.278682,0.230824,4.19059,0.299233,0.152977,0.152977,6,9,-10,0,0,-27.1145,-27.1145,0,0,0,0
-0.278682,0.230824,4.19059,-0.435441,0.360662,3.73529,0.498722,0.152971,0.152971,8,10,11,0,0,-27.1134,-27.1134,0,0,0,0
-0.435441,0.360662,3.73529,-0.383452,0.396866,3.56611,0.180656,0.135844,0.135844,9,12,-10,0,0,-24.0777,-24.0777,0,0,0,0
-0.435441,0.360662,3.73529,-0.58734,0.403864,3.66984,0.170949,0.102366,0.102366,9,513,-10,0,0,-18.1439,-18.1439,0,0,0,0
-0.383452,0.396866,3.56611,-0.366468,0.408693,3.51084,0.0590143,0.135821,0.135821,10,13,-10,0,0,-24.0736,-24.0736,0,0,0,0
-0.366468,0.408693,3.51084,-0.298535,0.455999,3.28978,0.236057,0.135806,0.135806,12,14,-10,0,0,-24.071,-24.071,0,0,0,0
-0.298535,0.455999,3.28978,-0.262142,0.481342,3.17135,0.126459,0.135772,0.135772,13,15,-10,0,0,-24.065,-24.065,0,0,0,0
-0.262142,0.481342,3.17135,-0.175493,0.541682,2.88938,0.301093,0.135742,0.135742,14,16,-10,0,0,-24.0596,-24.0596,0,0,0,0
-0.175493,0.541682,2.88938,-0.166828,0.547716,2.86118,0.0301093,0.135699,0.135699,15,17,-10,0,0,-24.052,-24.052,0,0,0,0
-0.166828,0.547716,2.86118,-0.0888437,0.602022,2.60741,0.270984,0.13569,0.13569,16,18,19,0,0,-24.0504,-24.0504,0,0,0,0
-0.0888437,0.602022,2.60741,-0.0786379,0.605717,2.54561,0.0627437,0.123364,0.123364,17,20,-10,0,0,-21.8657,-21.8657,0,0,0,0
-0.0888437,0.602022,2.60741,0.0927034,0.83812,2.4466,0.338469,0.0853097,0.0853097,17,373,-10,0,0,-15.1208,-15.1208,0,0,0,0
-0.0786379,0.605717,2.54561,-0.0718341,0.608181,2.50441,0.0418291,0.12336,0.12336,18,21,-10,0,0,-21.865,-21.865,0,0,0,0
-0.0718341,0.608181,2.50441,-0.0582264,0.613107,2.42201,0.0836583,0.123356,0.123356,20,22,-10,0,0,-21.8643,-21.8643,0,0,0,0
-0.0582264,0.613107,2.42201,-0.00379552,0.632814,2.09243,0.334633,0.123352,0.123352,21,23,-10,0,0,-21.8636,-21.8636,0,0,0,0
-0.00379552,0.632814,2.09243,0.0132141,0.638972,1.98943,0.104573,0.12301,0.12301,22,24,-10,0,0,-21.803,-21.803,0,0,0,0
0.0132141,0.638972,1.98943,0.0174665,0.640512,1.96368,0.0261432,0.123006,0.123006,23,25,-10,0,0,-21.8022,-21.8022,0,0,0,0
0.0174665,0.640512,1.96368,0.042981,0.64975,1.80919,0.156859,0.122603,0.122603,24,26,-10,0,0,-21.7308,-21.7308,0,0,0,0
0.042981,0.64975,1.80919,0.0925811,0.667707,1.50885,0.304934,0.122571,0.122571,25,27,-10,0,0,-21.7251,-21.7251,0,0,0,0
0.0925811,0.667707,1.50885,0.0980922,0.669703,1.47548,0.0338816,0.122524,0.122524,26,28,-10,0,0,-21.7168,-21.7168,0,0,0,0
0.0980922,0.669703,1.47548,0.127485,0.680344,1.2975,0.180702,0.122514,0.122514,27,29,-10,0,0,-21.715,-21.715,0,0,0,0
0.127485,0.680344,1.2975,0.134833,0.683005,1.25301,0.0451755,0.122509,0.122509,28,30,-10,0,0,-21.7142,-21.7142,0,0,0,0
0.134833,0.683005,1.25301,0.145039,0.6867,1.19121,0.0627437,0.122488,0.122488,29,31,-10,0,0,-21.7104,-21.7104,0,0,0,0
0.145039,0.6867,1.19121,0.170553,0.695937,1.03671,0.156859,0.12213,0.12213,30,32,-10,0,0,-21.647,-21.647,0,0,0,0
0.170553,0.695937,1.03671,0.176932,0.698247,0.99809,0.0392148,0.122122,0.122122,31,33,-10,0,0,-21.6456,-21.6456,0,0,0,0
0.176932,0.698247,0.99809,0.222493,0.714742,0.722207,0.280106,0.121743,0.121743,32,34,-10,0,0,-21.5784,-21.5784,0,0,0,0
0.222493,0.714742,0.722207,0.24983,0.724639,0.556677,0.168064,0.121685,0.121685,33,35,-10,0,0,-21.5681,-21.5681,0,0,0,0
0.24983,0.724639,0.556677,0.256665,0.727114,0.515295,0.0420159,0.121679,0.121679,34,36,-10,0,0,-21.567,-21.567,0,0,0,0
0.256665,0.727114,0.515295,0.290836,0.739485,0.308383,0.210079,0.121674,0.121674,35,37,38,0,0,-21.5662,-21.5662,0,0,0,0
0.290836,0.739485,0.308383,0.28634,0.753505,0.26086,0.0497513,0.114887,0.114887,36,39,-10,0,0,-20.3632,-20.3632,0,0,0,0
0.290836,0.739485,0.308383,0.354873,0.831844,0.214709,0.146307,0.0658026,0.0658026,36,315,316,0,0,-11.6632,-11.6632,0,0,0,0
0.28634,0.753505,0.26086,0.245876,0.87968,-0.166846,0.447761,0.114838,0.114838,37,40,-10,0,0,-20.3545,-20.3545,0,0,0,0
0.245876,0.87968,-0.166846,0.24088,0.895257,-0.21965,0.0552792,0.114825,0.114825,39,41,-10,0,0,-20.3522,-20.3522,0,0,0,0
